MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
424	The next time it happens		"Rodgers, Richard, 1902-1979"	http://id.loc.gov/authorities/names/n50048058	"Hammerstein, Oscar, 1895-1960"	http://id.loc.gov/authorities/names/n50020012						Williamson Music	"New York, NY"	1955	English	First line of text|I leapt before I looked and I got hooked.	For voice and piano with chord symbols.|Based on the novel Sweet Thursday by John Steinbeck.|Pl. no.: 949-4				Songs with piano|Musicals--Excerpts--Vocal scores|Popular music--1951-1960	Sheet music 16				Pipe dream	love	"For voice and piano with chord symbols.<br>Based on the novel Sweet Thursday by John Steinbeck.<br>First line of text: ""I leapt before I looked and I got hooked.""<br>Pl. no.: 949-4<br>"			0	34	N	
434	Aren't you glad you're you		"Van Heusen, Jimmy, 1913-"	http://id.loc.gov/authorities/names/n87146380	"Burke, Johnny, 1908-1964"	http://id.loc.gov/authorities/names/no89004670						Burke & Van Heusen	"New York, NY"	1945	English	First line of text|Do you make the most of your five senses. :: First line of refrain|Every time you're near a rose.	For voice and piano with chord symbols for guitar.|Sung by Bing Crosby.				"Songs with piano|Motion picture music, Arranged|Popular music--1941-1950"	Sheet music 19				Bells of St. Mary's		"For voice and piano with chord symbols for guitar.<br>Sung by Bing Crosby.<br>First line of text: ""Do you make the most of your five senses.""<br>First line of refrain: ""Every time you're near a rose.""<br>"			0	62	N	
436	As long as I live		"Steiner, Max R., 1888-1971"	http://id.loc.gov/authorities/names/n84184888	"Tobias, Charlie, 1898-1970"	http://id.loc.gov/authorities/names/no90010582						M. Witmark	"New York, NY"	1944			For voice and piano with chord symbols and tablature for guitar.|Cover illustration of Ingrid Bergman and Gary Cooper.|Pl. no.: 18164-2				"Songs with piano|Motion picture music, Arranged|Popular music--1941-1950"	Sheet music 21				Saratoga trunk	love	"For voice and piano with chord symbols and tablature for guitar.<br>Cover illustration of Ingrid Bergman and Gary Cooper.<br>Pl. no.: 18164-2<br>"			0	89	N	
443	What'll I do?		"Berlin, Irving, 1888-1989"	http://id.loc.gov/authorities/names/n50026116	"Berlin, Irving, 1888-1989"	http://id.loc.gov/authorities/names/n50026116						Irving Berlin	"New York, NY"	1924	English	First line of text|Gone is the romance that was so divine.	"For voice and piano with tablature for ukulele.|Ukulele arrangement by May Singhi Breen.|Includes excerpts from the composer's ""An Orange Grove in California"" on p. [2] and ""The Waltz of Long Ago"" on p. [6].|Second copy in folder."				Songs with piano|Revues--Excerpts--Vocal scores with piano	Sheet music 30				The new music box revue ; The big city	"love, dreams"	"For voice and piano with tablature for ukulele.<br>Ukulele arrangement by May Singhi Breen.<br>Includes excerpts from the composer's ""An Orange Grove in California"" on p. [2] and ""The Waltz of Long Ago"" on p. [6].<br>First line of text: ""Gone is the romance that was so divine.""<br>Second copy in folder.<BR>"	443_1.jpg		6	182	N	
445	My heart stood still		"Rodgers, Richard, 1902-1979"	http://id.loc.gov/authorities/names/n50048058	"Hart, Lorenz, 1895-1943"	http://id.loc.gov/authorities/names/n81097890						Harms	"New York, NY"	1927	English	First line of text|I laughed at sweet hearts. :: First line of chorus|I took one look at you.	"For voice and piano with tablature for ukulele.|Includes excerpts from other Harms selections on p. [2], [7], and [8].|Pl. no.: 8098-4"				Songs with piano|Musicals--Excerpts--Vocal scores with piano	Sheet music 31				A Connecticut Yankee	love	"For voice and piano with tablature for ukulele.<br>Includes excerpts from other Harms selections on p. [2], [7], and [8].<br>First line of text: ""I laughed at sweet hearts.""<br>First line of chorus: ""I took one look at you.""<br>Pl. no.: 8098-4<br>"	445_1.jpg		8	99	N	
453	Some day		"Friml, Rudolf, 1879-1972"	http://id.loc.gov/authorities/names/n80122773	"Hooker, Brian, 1880-1946"	http://id.loc.gov/authorities/names/n86839418						Henry Waterson	"New York, NY"	1925	English	First line of text|Someday you will seek me and find me.	"For voice and piano.|Founded on Justin Huntly McCarthy's romance ""If I Were King.""|Musical play by Russell Janney.|Cover portrait of Carolyn Thomson.|Includes excerpts of ""big song hits"" on p. [2] and [6].|Second copy in key of B-flat in folder.|Pl. no.: 1703-3"				Songs with piano|Musicals--Excerpts--Vocal scores with piano	Sheet music 39				The vagabond king	"lover, soul"	"For voice and piano.<br>First line of text: ""Someday you will seek me and find me.""<BR>Founded on Justin Huntly McCarthy's romance ""If I Were King.""<br>Musical play by Russell Janney.<br> Cover portrait of Carolyn Thomson.<br>Includes excerpts of ""big song hits"" on p. [2] and [6].<br>Second copy in key of B-flat in folder.<br>Pl. no.: 1703-3<br>"	453_1.jpg		6	136	N	
454	Only a rose		"Friml, Rudolf, 1879-1972"	http://id.loc.gov/authorities/names/n80122773	"Hooker, Brian, 1880-1946"	http://id.loc.gov/authorities/names/n86839418						Henry Waterson	"New York, NY"	1925	English	First line of text|Red rose out of the east.	"For voice and piano.|Founded on Justin Huntly McCarthy's romance ""If I Were King.""|Musical play by Russell Janney.|Includes excerpts from ""big song hits"" on p. [2] and ""Memories of France"" by Al Dubin and J. Russel Robinson on p. [6].|Pl. no.: 1699-3"				Songs with piano|Musicals--Excerpts--Vocal scores with piano	Sheet music 40				The vagabond king	"love, song, rose"	"For voice and piano.<br>First line of text: ""Red rose out of the east.""<br>Founded on Justin Huntly McCarthy's romance ""If I Were King.""<br>Musical play by Russell Janney.<br>Includes excerpts from ""big song hits"" on p. [2] and ""Memories of France"" by Al Dubin and J. Russel Robinson on p. [6].<br>Pl. no.: 1699-3<br>"	454_1.jpg		6	191	N	
460	The hills of dawn		"Speaks, Oley, 1876-1948"	http://id.loc.gov/authorities/names/n81047930	"Stanton, Frank L., 1857-1927"	http://id.loc.gov/authorities/names/n81048017						G. Schirmer	"New York, NY"	1919	English	"First line of text|It's a brave, sweet world, for all its sights."	For voice and piano.|Pl. no.: 29202				Sacred songs (High voice) with piano	Sheet music 47				Two songs	"sorrow, morning song"	"For voice and piano.<br>First line of text: ""It's a brave, sweet world, for all its sights.""<br>Pl. no.: 29202<br>"	460_1.jpg		6	97	N	
466	Deep night		"Henderson, Charlie, 1907-1970"	http://id.loc.gov/authorities/names/n87911999	"Vallee, Rudy, 1901-1986"	http://id.loc.gov/authorities/names/n82152282						"Ager, Yellen & Bornstein"	"New York, NY"	1929	English	"First line of text|Shadows are falling and night time is callin, this is the time for love."	For voice and piano with tablature for ukulele.|Ukulele arrangement by Dan Dougherty.				Songs with piano|Popular music--1921-1930	Sheet music 53					"love, yearning"	"For voice and piano with tablature for ukulele.<br>First line of text: ""Shadows are falling and night time is callin, this is the time for love.""<br>Ukulele arrangement by Dan Dougherty."			0	94	N	
360	The way you look tonight		"Kern, Jerome, 1885-1945"	http://id.loc.gov/authorities/names/n80149466	"Fields, Dorothy"	http://id.loc.gov/authorities/names/n81023046						Chappell	"New York, NY"	1936	English	First line of text|Some day when I'm aw-f'ly low	Cover portraits: Fred Astaire ; Ginger Rogers|Plate number: C-620-4	Dr. David G. Phillips			Popular music--1931-1940	Sheet music 355				Swing time		"First line of text: Some day when I'm aw-f'ly low <br>Cover portraits: Fred Astaire ; Ginger Rogers <br>Plate number: C-620-4"			0	157	N	
361	Yesterdays		"Kern, Jerome, 1885-1945"	http://id.loc.gov/authorities/names/n80149466	"Harbach, Otto, 1873-1963"	http://id.loc.gov/authorities/names/no89000988						T.B. Harms	"New York, NY"	1933			From the motion picture Roberta|Adapted from the novel by Alice Duer Miller	Dr. David G. Phillips			Motion picture music	Sheet music 356				Roberta		"From the motion picture Roberta <br>Adapted from the novel by Alice Duer Miller"			0	108	N	
369	I ain't seen no messenger boy		"Bivins, Nathan"		"Bivins, Nathan"						E.J.C.?	Hugo V. Schlam	"New York, NY"	1899	English	First line of text|A hungry looking coon just come to town. :: First line of chorus|Deed I aint seen no messenger boy.	"Cover title.|For voice and piano.|At head of title: ""Reigning 'Coon' Song Hit of the Season!! Over 100,000 Copies Sold!!""|Pl. no.: 630-4"	Fred and Betsy Miller			African Americans--Songs and music|Ragtime music--Songs and music|Songs with piano	CSAM 51			CSAM			"Pl. no.: 630-4<br>For voice and piano.<br>Cover title.<br>At head of title: ""Reigning 'Coon' Song Hit of the Season!! Over 100,000 Copies Sold!!""<br>First line of text: A hungry looking coon just come to town.<br>First line of chorus: Deed I aint seen no messenger boy."	369_1.jpg		5	607	N	
415	The cake-walk in the sky : song and cake walk		"Harney, Benjamin Robertson, 1872-1938"	http://id.loc.gov/authorities/names/n2001121461	"Harney, Ben"	http://id.loc.gov/authorities/names/n94031127						M. Witmark & Sons	"New York, NY"	1899	English	First line of text|A crap shootin' coon. :: First line of chorus|Put a smile on each face ev'ry coon now take your place.	"Caption title.|For voice and piano.|""A rag-time nightmare""--Cover.|Pl. no.: 1810-6"	Fred and Betsy Miller			Songs with piano|Ragtime music	CSAM 33			CSAM			"Pl. no.: 1810-6<br>For voice and piano.<br>Caption title.<br>""A rag-time nightmare""--Cover.<br>First line of text: A crap shootin' coon.<br>First line of chorus: Put a smile on each face ev'ry coon now take your place."	415_1.jpg		7	657	N	
418	A little bit o' honey		"Jacobs-Bond, Carrie, 1862-1946"	http://id.loc.gov/authorities/names/n85049048	"Wilson, W.G."							Carrrie Jacobs-Bond & Son	"Hollywood, CA"	1917			For medium voice and piano.|Dedicated to Miss Lucile M. Showalter.	Fred and Betsy Miller			Songs (Medium voice) with piano	CSAM 36			CSAM			"For medium voice and piano.<br>Dedicated to Miss Lucile M. Showalter."	418_1.jpg		4	575	N	
422	Who's been playin' papa 'round here while I've been gone		"Woods, Clarence, 1888-1956"	http://id.loc.gov/authorities/names/n88006025	"Woods, Clarence, 1888-1956"	http://id.loc.gov/authorities/names/n88006025					Starmer	Seidel Music	"Indianapolis, IN"	1919	English	First line of text|The day that Bill came home from war.	"Caption title.|For voice and piano.|""The screamingly funny coon shout success""--Cover."	Fred and Betsy Miller			"World War, 1914-1918--United States--Songs and music"	CSAM 40			CSAM			"For voice and piano.<br>Caption title.<br>""The screamingly funny coon shout success""--Cover.<br>First line of text: The day that Bill came home from war."	422_1.jpg		3	647	N	
423	Some enchanted evening		"Rodgers, Richard, 1902-1979"	http://id.loc.gov/authorities/names/n50048058	"Hammerstein, Oscar, 1895-1960"	http://id.loc.gov/authorities/names/n50020012						Williamson Music	"New York, NY"	1949			For voice and piano with chord symbols.|Adapted from Tales of South Pacific by James A. Michener.|Second copy in folder.|Pl. no.: 731-5				Songs with piano|Musicals--Excerpts--Vocal scores|Popular music--1941-1950	Sheet music 17				South Pacific	love	"For voice and piano with chord symbols.<br>Adapted from Tales of South Pacific by James A. Michener.<br>Pl. no.: 731-5<br>Second copy in folder.<BR>"			0	64	N	
5647	Choo choo boogie		"Schaum, John W. (John Walter), 1905-1988"	http://id.loc.gov/authorities/names/no88002650								Belwin Inc	"New York, NY"	1944			For solo piano.|Plate number: 558-3.				Dance music|Popular instrumental music--1941-1950	CSAM 129						"For solo piano.<BR>Plate number: 558-3."			0	1	N	
431	I'll get by as long as I have you		"Ahlert, Fred, 1892-1953"	http://id.loc.gov/authorities/names/no93031859	"Turk, Roy, 1892-1934"	http://id.loc.gov/authorities/names/no89009291						Irving Berlin	"New York, NY"	1943	English	First line of text|I've neither wealth nor power.	"For voice and piano with chord symbols for guitar, ukulele and banjo.|Cover portrait of Irene Dunne and Spencer Tracy."				Songs with piano|Motion picture music--Excerpts--Vocal scores with piano	Sheet music 7				A guy named Joe		"For voice and piano with chord symbols for guitar, ukulele and banjo.<br>Cover portrait of Irene Dunne and Spencer Tracy.<br>First line of text: ""I've neither wealth nor power.""<br>"			0	116	N	
505	Star dust: etoile d'amour		"Carmichael, Hoagy, 1899-"	http://id.loc.gov/authorities/names/n50032462	"Parish, Mitchell"	http://id.loc.gov/authorities/names/n90602103						Mills Music	"New York, NY"	1929	English|French		For voice and piano with chord symbols.|English and French text.|French translation by Yvette Baruch.	Louis and Mary Racz			Songs with piano|Popular music--1921-1930	Sheet music 97					"love, melody"	"For voice and piano with chord symbols.<br>English and French text.<br>French translation by Yvette Baruch.<br>"			0	159	N	
511	There's a star spangled banner waving somewhere		"Roberts, Paul, 1915-"	http://id.loc.gov/authorities/names/no2002029471	"Roberts, Paul, 1915-"	http://id.loc.gov/authorities/names/no2002029471						Bob Miller	"New York, NY"	1942			For voice and piano; includes chord symbols.				Popular music--1941-1950	Sheet music 401					Heroes.	"For voice and piano; includes chord symbols.<br>"	511_1.jpg		1	65	N	
			"Darnell, Shelby"	http://id.loc.gov/authorities/names/no2002029472	"Darnell, Shelby"	http://id.loc.gov/authorities/names/no2002029472																												
447	Lavender blue: dilly dilly		"Daniel, Eliot"	http://id.loc.gov/authorities/names/n2001082235	"Morey, Larry, 1905-"	http://id.loc.gov/authorities/names/no97031768						Santly-Joy	"New York, NY"	1948	English	First line of text|Great grandfather met great grandmother when she was a shy young miss.	For voice and piano with chord symbols.|Second copy in folder.	Louis and Mary Racz			Songs with piano|Popular music--1941-1950	Sheet music 33				So dear to my heart		"For voice and piano with chord symbols.<br>First line of text: ""Great grandfather met great grandmother when she was a shy young miss.""<br>Second copy in folder.<BR>"			0	56	N	
3003	Ala Marcia		"Norden, Hugo"	http://id.loc.gov/authorities/names/n50006083								Arthur P. Schmidt	"Boston, MA"	1946			"For violin and piano.|Score for violin and piano, with part for violin.|Plate no.: APS15264"	Erik L. Collins ; Victoria Collins			Violin and piano music--1941-1950	Sheet music Large 877						"For violin and piano.<BR>Score for violin and piano, with part for violin.<BR>Plate no.:  APS15264<BR>"			0	69	N	
432	Alabama lullaby		"De Voll, Cal, 1886-1970"	http://id.loc.gov/authorities/names/no2002056804	"De Voll, Cal, 1886-1970"	http://id.loc.gov/authorities/names/no2002056804					"R.S. (Firm : New York, NY)"	Leo Feist	"New York, NY"	1919	English	First line of text|I've heard lots of melodies. :: First line of chorus|Down in Alabama when the breeze begins to sigh.	"For voice and piano.|""A unique dreamy southern song.""|Cover illustration by R.S. (Firm : New York, N.Y.).|Second copy in folder.|Pl. no.: 4156-2"	"Mr. and Mrs. William Bagwell, Jr."			Alabama--Songs and music|Southern States--Songs and music|Waltzes|Popular music--United States--1911-1920|Songs with piano	Sheet music 8					melody	"For voice and piano.<br>First line of text: ""I've heard lots of melodies.""<br>First line of chorus: ""Down in Alabama when the breeze begins to sigh.""<br>Second copy in folder.<BR>Pl. no.: 4156-2<br>""A unique dreamy southern song.""<BR>Cover illustration by R.S. (Firm : New York, N.Y.)."	432_1.jpg		4	131	N	
