MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
			"Fisher, Mark"	http://id.loc.gov/authorities/names/n81034774	"Fisher, Mark"	http://id.loc.gov/authorities/names/n81034774																												
			"Burke, Joe, 1884-1950"	http://id.loc.gov/authorities/names/no95002533	"Burke, Joe"	http://id.loc.gov/authorities/names/no95002533																												
1255	Without that certain thing		"Nesbitt, Max"	http://id.loc.gov/authorities/names/no2007156164	"Nesbitt, Max"	http://id.loc.gov/authorities/names/no2007156164						T. B. Harms	New York	1933	English	First line of text|Ever since the world began fate decided ev'ry man should have a mate to love and care for.	"For voice and piano.|Introduced in America by Harry Sosnik and his orchestra from the Edgewater Beach Hotel Chicago, Ill."	Laurence Conger				Sheet music 1339						"For voice and piano.<br>First line of text: Ever since the world began fate decided ev'ry man should have a mate to love and care for.<br>Introduced in America by Harry Sosnik and his orchestra from the Edgewater Beach Hotel Chicago, Ill.<br>"			0	174	N	NO SUBJECTS?
			"Nesbitt, Harry"	http://id.loc.gov/authorities/names/no98110972	"Nesbitt, Harry"	http://id.loc.gov/authorities/names/no98110972																												
1261	Sleepy time gal		"Lorenzo, Ange, 1894-1971"	http://id.loc.gov/authorities/names/no98121746	"Alden, Joseph Reed"	http://id.loc.gov/authorities/names/no98121748						Leo. Feist	New York	1925	English	"First line of text|Wouldn't it be a change for you and me :: First line of chorus|Sleepy time gal, You're turning night into day,"	"For voice and piano|Subtitle on cover: ""A wide awake fox trot song""|""Featured by Murray and Alan"""	Laurence Conger				Sheet music 805					fox trot	"For voice and piano<br>First line of text: ""Wouldn't it be a change for you and me""<br>First line of chorus: ""Sleepy time gal, You're turning night into day,""<br>Subtitle on cover: ""A wide awake fox trot song""<br>""Featured by Murray and Alan""<br>"			0	87	N	NO SUBJECTS?
			"Whiting, Richard A., 1891-1938"	http://id.loc.gov/authorities/names/n85173099	"Egan, Raymond B."	http://id.loc.gov/authorities/names/no94005844																												
1263	Caravan		"Ellington, Duke, 1899-1974"	http://id.loc.gov/authorities/names/n50080187			"Mossman, Ted"	http://id.loc.gov/authorities/names/nb2001006007				American Academy of Music	"New York, NY"	1937				Laurence Conger				Sheet music 807						"Simplified piano solo.<br>"			0	138	N	NO SUBJECTS?
			"Tizol, Juan, 1900-1984"	http://id.loc.gov/authorities/names/no93032158																														
1264	After my laughter came tears		"Turk, Roy, 1892-1934"	http://id.loc.gov/authorities/names/no89009291	"Turk, Roy, 1892-1934"	http://id.loc.gov/authorities/names/no89009291						"Shapiro, Bernstein and Company"	"New York, NY"	1928	English	First line of text|Our old friends may tell you I'm not grieving.	For voice and piano.|Cover portrait: Johnny Marvin.	Laurence Conger				Sheet music 808						"For voice and piano.<br>First line of text: Our old friends may tell you I'm not grieving.<br>Cover portrait: Johnny Marvin.<br>"			0	278	N	NO SUBJECTS?
					"Tobias, Charles, 1898-1970"	http://id.loc.gov/authorities/names/no90010582																												
1270	My isle of golden dreams		"Blaufuss, Walter, 1883-1945"	http://id.loc.gov/authorities/names/nr97022814	"Kahn, Gus, 1886-1941"	http://id.loc.gov/authorities/names/no89002698						Jerome J. Remick and Company	New York|Detroit	1919	English	"First line of text|Out of the mist, lips I have kissed, call tenderly."	"For voice and piano.|Operatic edition.|Featured by Holt and Rosedale in ""Hello Alexander"".|Pl. no.: 886-4."	Laurence Conger			Islands--Songs and music|Separation (Psychology)--Songs and music|Love songs|Popular music--United States--1911-1920|Songs with piano	Sheet music 814				Hello Alexander		"For voice and piano.<br>First line of text: Out of the mist, lips I have kissed, call tenderly.<br>Operatic edition.<BR>Pl. no.: 886-4.<br>Featured by Holt and Rosedale in ""Hello Alexander""."			0	225	N	
1271	My blue heaven		"Donaldson, Walter, 1893-1947"	http://id.loc.gov/authorities/names/n89633370	"Whiting, George"	http://id.loc.gov/authorities/names/nr2003031954						Leo. Feist	New York	1927	English	"First line of text|Day is ending, birds are wending back to the shelter of each little nest they love."	For voice and piano.|A Fox-Trot Ballad.|Featured by Harry Richman.|Cover portrait: Harry Richman.|Copy 2 in folder.|Copy 2 has cover portrait of Walter Donaldson.|Plate number: 5997-3.	Laurence Conger				Sheet music 815						"For voice and piano.<br>First line of text: Day is ending, birds are wending back to the shelter of each little nest they love.<br>A Fox-Trot Ballad.<br>Featured by Harry Richman.<br>Cover portrait: Harry Richman.<br>Plate number: 5997-3.<br> Coopy 2 in folder. <BR> Copy 2 has cover portrait of Walter Donaldson."			0	161	N	NO SUBJECTS?
1272	Ragging the scale		"Claypoole, Edward B., 1883-1952"	http://id.loc.gov/authorities/names/no98047162							Szabo Studio	Broadway Music	New York	1915				Laurence Conger				Sheet music 816						"Piano solo.<br>"			0	121	N	NO SUBJECTS?
1273	Original rags		"Joplin, Scott, 1868-1917"	http://id.loc.gov/authorities/names/n50039880			"Daniels, Chas. N."	http://id.loc.gov/authorities/names/no2006125509				Carl Hoffman	"Kansas City, MO"	1899			"For piano.|""Picked by Scott Joplin""--Cover."	Laurence Conger			Piano music (Ragtime)--1891-1900	CSAM 76			CSAM		rags	"For piano.<br>""Picked by Scott Joplin""--Cover."			0	237	N	
1274	Boogin' on the downbeat		"Johnson, Pete, 1904-"	http://id.loc.gov/authorities/names/n81146973					Frank Paparelli			Leeds Music	"New York, NY"	1943			Piano solo.|Edited by Frank Paparelli.	Laurence Conger			Piano music (Boogie woogie)	Sheet music 820					Boogie woogie	"Piano solo.<br>Edited by Frank Paparelli.<br>"			0	128	N	
1276	Save your sorrow (for to-morrow)		"Sherman, Al, 1897-1973"	http://id.loc.gov/authorities/names/no2003025564	"De Sylva, B. G. (Buddy Gard), 1896-1950"	http://id.loc.gov/authorities/names/n79013020					Starmer	"Shapiro, Bernstein & Co."	New York	1925	English	First line of text|People love to say waiting doesn't pay :: First line of chorus|Save your sorrow for tomorrow	"For voice and piano, with diagrams for ukulele.|Photograph of Emma Weston on cover|Cover art by Starmer.|Copy 2 in folder.|Copy 2 has photoraph of Joe Darcy on cover."	Laurence Conger			Songs with piano--1921-1930	Sheet music 817					sorrow	"For voice and piano, with diagrams for ukulele.<br>First line of text: People love to say waiting doesn't pay<br>First line of chorus: Save your sorrow for tomorrow<br>Photograph of Emma Weston on cover<br>Cover art by Starmer.<BR>Copy 2 in folder.<BR>Copy 2 has photoraph of Joe Darcy on cover.<BR>"			0	108	N	
1279	When sweethearts waltz		"De Voll, Cal, 1886-1960"	http://id.loc.gov/authorities/names/no2002056804	"De Voll, Cal"	http://id.loc.gov/authorities/names/no2002056804					Paderewski	Belwin	"New York, NY"	1921	English	First line of text|I've heard that moonlight and spoonlight and Junelight will bring a pretty girl into your arms.	For voice and piano.	Laurence Conger				Sheet music 823					dancing	"For voice and piano.<br>First line of text: I've heard that moonlight and spoonlight and Junelight will bring a pretty girl into your arms.<br>"			0	127	N	NO SUBJECTS?
			"Breau, Louis, 1893-1928"	http://id.loc.gov/authorities/names/nb2001016503	"Breau, Louis"	http://id.loc.gov/authorities/names/nb2001016503																												
1281	Moonlight in Mandalay		"Ohlman, Abe"	http://id.loc.gov/authorities/names/n92082935	"Yellen, Jack"	http://id.loc.gov/authorities/names/n85248157					Van Doorn Morgan	Forster Music Publisher	"Chicago, IL"	1920	English	"First line of text|'Neath your skies tender eyes are burning. :: First line of chorus|Oh take me back to Mandalay, my land of dreams."	For voice and piano.	Laurence Conger				Sheet music 819						"For voice and piano.<br>First line of text: 'Neath your skies tender eyes are burning.<br>First line of chorus: Oh take me back to Mandalay, my land of dreams.<br>"			0	209	N	NO SUBJECTS?
2626	The Frost king		Schiefelbein	http://id.loc.gov/authorities/names/no2005059887								Evans Music	"Boston, MA|New York, NY"	1919			For solo piano.|March.|Edition Evans.|Plate no.: E.M.Co. 1893	Gail Morrison			Marches (Piano)--1911-1920	Sheet music 1689						"For solo piano.<BR>March.<BR>Edition Evans.<BR>Plate no.:  E.M.Co. 1893<BR>"			0	116	N	
			Frederick A.	http://id.loc.gov/authorities/names/no2005059887																														
5366	Moonbeams on the lake		"Fitzpatrick, John J."	http://id.loc.gov/authorities/names/n88263666							Charles Lussier	Will Wood	"New York, NY"	1908			For solo piano.|Cover artist: Charles Lussier.	Hemrick Salley			Popular instrumental music--1901-1910|Piano music	Sheet music 3535		Select Series				"For solo piano.<BR>Cover artist: Charles Lussier."			0	13	N	
1293	Kentucky lullaby		"Miller, Ned"	http://id.loc.gov/authorities/names/no2008022686	"Miller, Ned"	http://id.loc.gov/authorities/names/no2008022686						Forster Music Publishing	"Chicago, IL"	1926	English	First line of text|What a sweet melody.	For voice and piano.	Laurence Conger				Sheet music 835						"For voice and piano.<br>First line of text: What a sweet melody.<br>"			0	91	N	NO SUBJECTS?
			"Cohn, Chester"	http://id.loc.gov/authorities/names/no2005094529	"Cohn, Chester"	http://id.loc.gov/authorities/names/no2005094529																												
1182	I Pastori lirica per canto e pianoforte	Additional title|Cinque liriche per canto e pianoforte.	"Pizzetti, Ildebrando, 1880-1968"	http://id.loc.gov/authorities/names/n80117010	"D' Annunzio, Gabriele, 1863-1938"	http://id.loc.gov/authorities/names/n79021731						Firenze Forlivesi	Roma	1916	Italian		Cover title.|For voice and piano.|Italian words.|Additional title: Cinque liriche per canto e pianoforte.|Pl. no.: 10614	Evelyn McGarrity			Songs (High voice) with piano	Sheet music 312						"Pl. no.: 10614<br>For voice and piano.<br>Cover title.<br>Italian words.<br>Additional title: Cinque liriche per canto e pianoforte."	1182_1.JPG		11	55	N	
1187	To music = An die musik		"Schubert, Franz, 1797-1828"	http://id.loc.gov/authorities/names/n50000561	"Von Schober, Franz"	http://id.loc.gov/authorities/names/n84011699						G. Schirmer	"New York, NY"	1928	English		Caption title.|For voice and piano.|English translation by Gustave Reese.|Pl. no.: 33800	George Daniel Hoffman			Songs (Medium voice) with piano	Sheet music 319		Franz Schubert songs with original German words and English translations series one				"Pl. no.: 33800<br>For voice and piano.<br>Caption title.<br>English translation by Gustave Reese."			0	89	N	
1192	"Marche mignonne, op. 15, no. 2 = Dainty march"		"Poldini, Eduard (Ede), 1869-1957"	http://id.loc.gov/authorities/names/no91009647					Wilson G. Smith			G. Schirmer 	"New York, NY"	1905			Caption title.|For piano solo.|Edited and fingered by Wilson G. Smith.|Pl. no.: 18247C	Mary Elizabeth Newton			Piano music|Marches (Piano)	Sheet music 334		Compositions for pianoforte				"Pl. no.: 18247C<br>For piano solo.<br>Caption title.<br>Edited and fingered by Wilson G. Smith."	1192_1.jpg		5	80	N	
1193	O lovely night ! : song		"Ronald, Landon, Sir, 1873-1938"	http://id.loc.gov/authorities/names/n82059381	"Teschemacher, Edward, 1876-1940"	http://id.loc.gov/authorities/names/no90012377						Enoch & Sons	"New York, NY"	1901			Cover title.|For voice and piano.|Song from the song-cycle Summertime : no. 3 in D flat.|Pl. no.: 5305	George Daniel Hoffman			Song cycles--Excerpts|Songs (Medium voice) with piano	Sheet music 335				Summertime		"Pl. no.: 5305<br>For voice and piano.<br>Cover title.<br>Song from the song-cycle Summertime : no. 3 in D flat."			0	84	N	
1207	African quadrilles : selected from the most admired Negro melodies and arranged for the piano forte		"Scherpf, John C. (John Casper)"	http://id.loc.gov/authorities/names/nr95045417								F. Riley	"New York, NY"	1844			Cover title.|For piano.|Contents: Going ober de mountain -- Boatman's dance -- Dandy Jim -- Ole Dan Tucker -- It will nebber do to cib it up so.	Fred and Betsy Miller			"Piano music, Arranged|African Americans--Music"	CSAM 5						"For piano.<br>Cover title.<br>Contents: Going ober de mountain -- Boatman's dance -- Dandy Jim -- Ole Dan Tucker -- It will nebber do to cib it up so."	1207_1.jpg		6	119	N	
1211	By the  light of the jungle moon : song		"Atkinson, J. Caldwell"	http://id.loc.gov/authorities/names/no2009188318	"Ford, Powell I."	http://id.loc.gov/authorities/names/no2009188326					Starmer	Jerome H. Remick	"New York, NY"	1911	English	First line of text|When the jungle trees are swaying.	Cover title.|Song for voice and piano; version of chorus arr. for quartet (TTBarB) on p. 5.|Popular ed.|Cover design by Starmer.	Fred and Betsy Miller			Popular music|African Americans--Songs and music	CSAM 9			CSAM			"Song for voice and piano; version of chorus arr. for quartet (TTBarB) on p. 5.<br>Cover title.<br>Popular ed.<br>Cover design by Starmer.<br>First line of text: When the jungle trees are swaying."	1211_1.jpg		4	165	N	
1212	"Old folks at home, op. 60 : transcription of Foster's famous theme"		"Drumheller, Louis A."	http://id.loc.gov/authorities/names/no00043042							Starmer	Eclipse	"Philadelphia, PA"	1907			Caption title.|For piano solo.|Beaux Arts ed.|Foster Hall Collection cutter no.: NPS146.2041.	Fred and Betsy Miller			Variations (Piano)	CSAM 10			CSAM			"For piano solo.<br>Caption title.<br>Beaux Arts ed.<br>Foster Hall Collection cutter no.: NPS146.2041."	1212_1.jpg		7	108	N	
1218	"Old black Joe, op. 51: a transcription on Foster's celebrated theme"		"Drumheller, Louis A."	http://id.loc.gov/authorities/names/no00043042							Starmer	Eclipse	"Philadelphia, PA"	1906			For piano.|Beaux Arts ed.|Cover design by Starmer.	Fred and Betsy Miller			"Variations (Piano), Arranged|African Americans--Songs and music"	CSAM 20			CSAM			"For piano.<br>Beaux Arts ed.<br>Cover design by Starmer."	1218_1.jpg		7	83	N	
1219	The sunny South : selection of Southern plantation songs						"Lampe, J. Bodewalt"	http://id.loc.gov/authorities/names/no92013243			De Takacs	Jerome H. Remick	"New York, NY"	1906			Caption title.|For piano.	Fred and Betsy Miller			"Piano music, Arranged|African Americans--Songs and music"	CSAM 21			CSAM			"For piano.<br>Caption title."	1219_1.jpg		7	116	N	
1228	Every race has a flag but the coon		"Heelan, William A."	http://id.loc.gov/authorities/names/no2005040631	"Heelan, William A."	http://id.loc.gov/authorities/names/no2005040631					E.J.C.?	Jos. W. Stern	"New York, NY"	1900	English	First line of text|The leader of the Blackville club arose last labor night. :: First line of chorus|Ireland has her Harp and Shamrock.	"Caption title.|March for voice and piano.|""Sung with overwhelming success by Lottie Gilson, Marie Dressler, Williams and Walker, and others""--Cover."	Fred and Betsy Miller			Marches (Voice with piano)	CSAM 52			CSAM			"March for voice and piano.<br>Caption title.<br>""Sung with overwhelming success by Lottie Gilson, Marie Dressler, Williams and Walker, and others""--Cover.<br>First line of text: The leader of the Blackville club arose last labor night.<br>First line of chorus: Ireland has her Harp and Shamrock."	1228_1.jpg		6	966	N	
			"Helf, J. Fred"	http://id.loc.gov/authorities/names/n92056858	"Helf, J. Fred"	http://id.loc.gov/authorities/names/n92056858																												
1231	Would God I were the tender apple blossom				"Hinkson, Katharine Tynan"	http://id.loc.gov/authorities/names/n79056547	"Fischer, William Arms"					Oliver Ditson	"Boston, MA"	1915			For voice and piano.|Pl. no.: ML-2634-2				Songs with piano|Sacred songs	Sheet music Large 94			Irish songs			"Pl. no.: ML-2634-2<br>For voice and piano."	1231_1.jpg		3	122	N	
1241	Underneath the mellow moon=Lune d'amour		"Hall, Wendall Woods, 1896-1969"	http://id.loc.gov/authorities/names/no2002109720	"Beaudry, R."	http://id.loc.gov/authorities/names/nr91005513						Forster Music	Chicago	1922	English	"First line of text|Drifting in a birch canoe, :: First line of chorus|Drifting in the dreamy twilight,"	"For voice and piano|""By Wendell W. Hall: 'The Singing Xylophonist'"""	Laurence Conger				Sheet music 786					moon; twilight; dreamland	"For voice and piano<br>First line of text: Drifting in a birch canoe,<br>First line of chorus: Drifting in the dreamy twilight,<br>""By Wendell W. Hall: 'The Singing Xylophonist'"""			0	101	N	NO SUBJECTS?
1245	"Bonnie, sweet Bessie"	"Alternate title|Bonnie, sweet Bessie (the maid o' Dundee)"	"Gilbert, J. L."	http://id.loc.gov/authorities/names/n86062277	"Root, Arabella"	http://id.loc.gov/authorities/names/no2009065502						White-Smith Music Publishing	Boston|New York|Chicago	1916	English	First line of text|A Highland laddie there lived o'er the way	"For voice and piano|Alternate title: Bonnie, sweet Bessie (the maid o' Dundee)"	Laurence Conger				Sheet music 1320					lassie	"For voice and piano<br>First line of text: A Highland laddie there lived o'er the way<br>Alternate title: Bonnie, sweet Bessie (the maid o' Dundee)<br>"			0	82	N	NO SUBJECTS?
1282	Mickey		"Daniels, Charles N. (Charles Neil), 1878-1943"	http://id.loc.gov/authorities/names/no2006125509	"Williams, Harry, 1879-1922"	http://id.loc.gov/authorities/names/n98009450					Barbelle	"Waterson, Berlin and Snyder"	"New York, NY"	1918	English	First line of text|Oh what a shame they gave you the name of Mickey. :: First line of refrain|Mickey pretty Mickey with your hair of raven hue.	"For voice and piano.|On cover: Adapted from Mack Sennett's 500,000 photoplay ""Mickey"" and respectfully dedicated to Miss Mabel Normand.|Cover illustration by Barbelle.|Copy 2 in folder."	Laurence Conger			"Names, Personal--Songs and music|Love songs|Popular music--United States--1911-1920|Songs with piano"	Sheet music 825					Mabel Normand	"For voice and piano.<br>First line of text: Oh what a shame they gave you the name of Mickey.<br>First line of refrain: Mickey pretty Mickey with your hair of raven hue.<br>On cover: Adapted from Mack Sennett's 500,000 photoplay ""Mickey"" and respectfully dedicated to Miss Mabel Normand.<br>Copy 2 in folder.<BR>Cover illustration by Barbelle."			0	108	N	
1305	Isn't this a night for love		"Burton, Val, 1900-1981"	http://id.loc.gov/authorities/names/n88051338	"Burton, Val"	http://id.loc.gov/authorities/names/n88051338						Sam Fox	"Cleveland, OH"	1933	English	First line of text|Here is a wondrous story.	For voice and piano.	Laurence Conger				Sheet music 842				Melody Cruise	Charles Ruggles; Phil Harris; Greta Nissen; Mark Sandrich	"For voice and piano.<br>First line of text: Here is a wondrous story.<br>"			0	84	N	NO SUBJECTS?
			"Jason, Will, 1910-1970"	http://id.loc.gov/authorities/names/n85151770	"Jason, Will"	http://id.loc.gov/authorities/names/n85151770																												
1310	Oh! What a pal was Mary		"Wendling, Pete, 1888-1974"	http://id.loc.gov/authorities/names/n93012042	"Bainton, Edgar L. (Edgar Leslie), 1880-1956"	http://id.loc.gov/authorities/names/no90001048	"Ahlert, Fred E., 1892-1953"	http://id.loc.gov/authorities/names/no93031859			Barbelle	"Waterson, Berlin and Snyder"	"New York, NY"	1919	English	"First line of text|Mary o' mine, Mary o' mine. :: First line of chorus|Oh! what a gal was Mary, Oh! what a pal was she."	"For voice and piano.|Operatic edition.|Cover illustration by Barbelle, 1888-1957.|Pl. no.: 958-3."	Laurence Conger			Separation (Psychology)--Songs and music|Waltzes|Popular music--United States--1911-1920|Songs with piano	Sheet music 847						"For voice and piano.<BR>First line of text: Mary o' mine, Mary o' mine.<BR>First line of chorus: Oh! what a gal was Mary, Oh! what a pal was she.<BR>Operatic edition.<BR>Pl. no.: 958-3.<BR>Cover illustration by Barbelle, 1888-1957."			0	92	N	
					"Kalmar, Bert, 1884-1947"	http://id.loc.gov/authorities/names/n85106022																												
1311	Someone else		"Tandler, Henry J."		"Boroughs, Norman"							Ell and Ell	"Los Angeles, CA"	1922	English	First line of text|Sweetheart I wonder all the day long. :: First line of chorus|Someone else may not care if you're blue.	For voice and piano.	Laurence Conger				Sheet music 848						"For voice and piano.<br>First line of text: Sweetheart I wonder all the day long.<br>First line of chorus: Someone else may not care if you're blue.<br>"			0	187	N	NO SUBJECTS?
1326	"Auf Wiederseh'n, sweetheart"		"Storch, Eberhard"	http://id.loc.gov/authorities/names/no2007148606	John Sexton	http://id.loc.gov/authorities/names/no2010170457						Hill and Range Songs	"New York, NY"	1951	English	"First line of text|Auf Wiederseh'n, auf Wiederseh'n"	"For voice and piano, with chord symbols for guitar and diagrams for ukulele.|""Successfully Recorded by Vera Lynn on London Records""|Plate no.: A 1231"	Laurence Conger			Popular music|Songs with piano	Sheet music 1280						"For voice and piano, with chord symbols for guitar and diagrams for ukulele.<br>First line of text: Auf Wiederseh'n,auf Wiederseh'n,<br>""Successfully Recorded by Vera Lynn on London Records""<br>Plate no.:  A 1231<BR>"			0	86	N	
					John Turner	http://id.loc.gov/authorities/names/n89651050																												
1308	The riff song		"Romberg, Sigmund, 1887-1951"	http://id.loc.gov/authorities/names/n84212849	"Harbach, Otto"	http://id.loc.gov/authorities/names/no89000988						Harms	"New York, NY"	1926	English	First line of text|Over the ground there comes a sound. :: First line of chorus|Ho! So we sing as we are riding.	For voice and piano.|Plate number: 7859-4.	Laurence Conger				Sheet music 845				The desert song		"For voice and piano.<br>First line of text: Over the ground there comes a sound.<br>First line of chorus: Ho! So we sing as we are riding.<br>Plate number: 7859-4.<br>"			0	90	N	NO SUBJECTS?
					"Hammerstein II, Oscar"	http://id.loc.gov/authorities/names/n50020012																												
					"Mandel, Frank"	http://id.loc.gov/authorities/names/no94000769																												
1331	"Doctor, lawyer, indian chief"		"Carmichael, Hoagy, 1899-1981"	http://id.loc.gov/authorities/names/n50032462	"Webster, Paul Francis, 1907-1984"	http://id.loc.gov/authorities/names/n85273911						Melrose Music	"New York, NY"	1945	English	First line of text|There's a doctor livin' in your town.	"For voice and piano.|As sung by Betty Hutton in the Paramount Picture ""Stork Club""|Copy 2 in folder"	Laurence Conger				Sheet music 869				The Stork Club	Barry Fitzgerald; Don DeFore; Andy Russell	"For voice and piano.<br>First line of text: There's a doctor livin' in your town.<br>As sung by Betty Hutton in the Paramount Picture ""Stork Club""<br>Copy 2 in folder <BR>"			0	76	N	NO SUBJECTS?
4646	All things leave me : waltz song		"Dello Joio, Norman, 1913-2008"	http://id.loc.gov/authorities/names/n81042168	"Symons, Arthur, 1865-1945"	http://id.loc.gov/authorities/names/n79141282						"Carl Fischer, Inc."	"New York, NY"	1955	English	First line of text|As a perfume does remain in the folds where it has lain.	For medium voice and piano.|Dedicated to Grayce.|Pl. no.: N2360	Donald Gray			Songs (Medium voice) with piano	Sheet music 2985						"Pl. no.: N2360<br>For medium voice and piano.<br>Dedicated to Grayce.<br>First line of text: As a perfume does remain in the folds where it has lain."			0	21	N	
1222	Waiting for the Robert E. Lee		"Muir, Lewis F., 1884-1950"	http://id.loc.gov/authorities/names/no2006010003	"Gilbert, L. Wolfe"	http://id.loc.gov/authorities/names/no89003985						F. A. Mills	"New York, NY"	1912	English	First line of text|Way down on the levee in old Alabamy. :: First line of chorus|Watch them shufflin' along.	"Caption title.|Song for voice and piano.|""Al Jolson's big hit in the Winter Garden""--Cover."	Fred and Betsy Miller; Hemrick Salley			Popular music|Robert E. Lee (Steamboat)--Songs and music	CSAM 43			CSAM			"Song for voice and piano.<br>Caption title.<br>""Al Jolson's big hit in the Winter Garden""--Cover.<br>First line of text: Way down on the levee in old Alabamy.<br>First line of chorus: Watch them shufflin' along."	1222_1.jpg		5	130	N	
1292	There's a silver moon on the Golden Gate		"Tobias, Charles, 1898-1970"	http://id.loc.gov/authorities/names/no90010582	"Tobias, Charles"	http://id.loc.gov/authorities/names/no90010582						Irving Berlin	"New York, NY"	1936	English	First line of text|Joy will take the place of sorrow.	"For voice and piano, include chord diagrams for guitar.|Cover portrait: Benny Goodman"	Laurence Conger				Sheet music 834					San Fransisco; Golden Gate Bridge	"For voice and piano, include chord diagrams for guitar.<br>First line of text: Joy will take the place of sorrow.<br>Cover portrait: Benny Goodman"			0	106	N	NO SUBJECTS?
			"Rothberg, Bob, 1901-1938"	http://id.loc.gov/authorities/names/no91006042	"Rothberg, Bob"	http://id.loc.gov/authorities/names/no91006042																												
			"Meyer, Joseph, 1894-1987"	http://id.loc.gov/authorities/names/n86071582	"Meyer, Joseph"	http://id.loc.gov/authorities/names/n86071582																												
1295	Sonny boy		"Jolson, Al, 1886-1950"	http://id.loc.gov/authorities/names/n50048868	"Jolson, Al, 1886-1950"	http://id.loc.gov/authorities/names/n50048868	"Weiss, Joseph M."	http://id.loc.gov/authorities/names/no95029449				"De Sylva, Brown, and Henderson, Inc., Music Publishers"	"New York, NY"	1928	English	"First line of text|Climb up on my knee, Sonny boy; You are only three, Sonny Boy. :: First line of chorus|When there are gray skies, I don't mind the gray skies; you make them blue, Sonny Boy."	"For voice and piano.|Includes tablature for ukulele.|""Theme song of Warner Bros. production The Singing Fool, featuring Al Jolson, as shown at the Winter Garden in New York.""|""A Warner Bros. Vitaphone picture."""	Laurence Conger			Fathers and sons--Songs and music|Motion picture music|Popular music--United States--1921-1930|Songs with piano	Sheet music 837				The Singing Fool (motion picture)	Al Jolson	"For voice and piano.<BR>First line of text: Climb up on my knee, Sonny boy; You are only three, Sonny Boy.<BR>First line of chorus: When there are gray skies, I don't mind the gray skies; you make them blue, Sonny Boy.<BR>Includes tablature for ukulele.<BR>""Theme song of Warner Bros. production The Singing Fool, featuring Al Jolson, as shown at the Winter Garden in New York.""<BR>""A Warner Bros. Vitaphone picture."""			0	131	N	
			"De Sylva, B. G. (Buddy Gard), 1896-1950"	http://id.loc.gov/authorities/names/n79013020	"De Sylva, B. G. (Buddy Gard), 1896-1950"	http://id.loc.gov/authorities/names/n79013020																												
			"Brown, Lew"	http://id.loc.gov/authorities/names/no90010584	"Brown, Lew"	http://id.loc.gov/authorities/names/no90010584																												
			"Henderson, Ray, 1889-1937"	http://id.loc.gov/authorities/names/n80063358	"Henderson, Ray, 1889-"	http://id.loc.gov/authorities/names/n80063358																												
1296	I'm sitting on top of the world	Alternate title|I'm sitting on top of the world (just rolling along -- just rolling along).	"Henderson, Ray, 1896-1970"	http://id.loc.gov/authorities/names/n80063358	Lewis and Young							Leo. Feist	"New York, NY"	1925	English	"First line of text|Don't want any millions I'm getting my share. :: First line of chorus|I'm sitting on top of the world, just rolling along."	"For voice and piano.|Alternate title: I'm sitting on top of the world (just rolling along -- just rolling along).|On cover: featured by Al. Herman ""The Black Laugh"""	Laurence Conger				Sheet music 838					fox trot	"For voice and piano.<br>First line of text: Don't want any millions I'm getting my share.<br>First line of chorus: I'm sitting on top of the world, just rolling along.<br>Alternate title: I'm sitting on top of the world (just rolling along -- just rolling along).<br>On cover: featured by Al. Herman ""The Black Laugh""<br>"			0	89	N	NO SUBJECTS?
1303	Good night	Alternate title|Good night: waltz	"Wood, Leo, 1882-1924"	http://id.loc.gov/authorities/names/nr2003036464								Leo. Feist	New York	1923	English	"First line of text|Dear, it's time to go; :: First line of chorus|Goodnight dear, good-night;"	"For voice and piano|Alternate title: Good night: waltz|""The New Novelty Waltz Song With the 'Bugle Call' Effect""|2 copies in folder"	Laurence Conger			Waltzes	Sheet music 841					waltz; night	"For voice and piano<br>First line of text: Dear, it's time to go;<br>First line of chorus: Goodnight dear, good-night;<br>Alternate title: Good night: waltz<br>""The New Novelty Waltz Song With the 'Bugle Call' Effect""<br>2 copies in folder<br>"			0	70	N	
			"Bibo, Irving"	http://id.loc.gov/authorities/names/nr90006745																														
			"Conrad, Con, 1891-1938"	http://id.loc.gov/authorities/names/no89003976																														
1307	Fool that I am		"Malneck, Matt"	http://id.loc.gov/authorities/names/no90004234	"Mercer, John"	http://id.loc.gov/authorities/names/n82078485						"DeSylva, Brown and Henderson"	"New York, NY"	1934	English	First line of text|So new at the game. :: First line of chorus|Fool that I am I'm still being true.	For voice and piano.|On cover: Featured by Sammy Watkins.|Cover portrait: Sammy Watkins.	Laurence Conger				Sheet music 844						"For voice and piano.<br>First line of text: So new at the game.<br>First line of chorus: Fool that I am I'm still being true.<br>On cover: Featured by Sammy Watkins.<br>Cover portrait: Sammy Watkins.<br>"			0	92	N	NO SUBJECTS?
			"Signorelli, Frank"	http://id.loc.gov/authorities/names/n79090682																														
