CurrentURL	MID	editor_data	photographer_data	illustrator_data	altTitles	notes	lang	text	Title	composer_data	lyricist_data	arranger_data	Publisher	PublisherLocationTest	testDates	Donor	Distributor	subject_data	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete
http://sheetmusic.library.sc.edu/Music.asp?mid=2917	2917					"For solo piano.|Dedicated to Fred Valva.|""Photoplay usage: light martial scenes of modern character""--1st page.|Part of larger collection.|Has second complete song printed on verso (1/2 size): Convention City march."	No linguistic content		Miss Frivolity:  march	"Stoughton, R. Spaulding (Roy Spaulding), 1884-1953|http://id.loc.gov/authorities/names/no90010165"			Walter Jacobs	"Boston, MA"	1927	Laurence Conger		Marches|http://id.loc.gov/authorities/subjects/sh85080979 ; Piano music|http://id.loc.gov/authorities/subjects/sh85101782	Sheet music Large 867		"Jacobs' piano folio of common-time marches, vol. 5"						0	109	N
http://sheetmusic.library.sc.edu/Music.asp?mid=2919	2919					"For solo piano.|Based on patriotic songs.|""Photoplay usage: light comedy scenes of military or patriotic nature""--1st page.|Has second song printed on back page--The Fighting Yanks.|""The Fighting Yanks"" is damaged--has been trimmed too far."	No linguistic content		"Gen. Mixup, U.S.A.:  characteristic march"	"Allen, Thos. S., 1876-1919|http://id.loc.gov/authorities/names/no99020416"			Walter Jacobs	"Boston, MA"	1927	Laurence Conger		Marches|http://id.loc.gov/authorities/subjects/sh85080979 ; Piano music|http://id.loc.gov/authorities/subjects/sh85101782	Sheet music Large 866		"Jacobs' musical mosaics, vol. [?]"						0	91	N
http://sheetmusic.library.sc.edu/Music.asp?mid=2920	2920					For voice and piano.|Plate no.: 2159	English	"First line of text|Dere was an old nigga, dey call'd him Uncle Ned :: First line of chorus|Hang up de fiddle and de bow"	Uncle Ned	"Foster, Stephen Collins, 1826-1864|http://id.loc.gov/authorities/names/n50023175"	"Foster, Stephen Collins, 1826-1864|http://id.loc.gov/authorities/names/n50023175"		"W.C. Peters & Co.; Peters, Field & Co.; G. Willig Jr."	"Louisville, KY|Cincinnati, OH|Baltimore, MD"	1843			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211	CSAM 104		Songs of the sable harmonists	CSAM					0	95	N
http://sheetmusic.library.sc.edu/Music.asp?mid=2995	2995	"Joseffy, Rafael, 1852-1915|http://id.loc.gov/authorities/names/n86143589"				"For solo piano.|Op.57|Revised and fingered by Rafael Joseffy.|Dedicated ""a Mlle Elise Gavard""|Plate no.: 27414"	No linguistic content		Berceuse	"Chopin, Frédéric, 1810-1849|http://id.loc.gov/authorities/names/n79127769"		"Joseffy, Rafael, 1852-1915|http://id.loc.gov/authorities/names/n86143589"	G. Schirmer	"New York, NY"	1916			Piano music|http://id.loc.gov/authorities/subjects/sh85101782	Sheet music 1928								0	140	N
http://sheetmusic.library.sc.edu/Music.asp?mid=2997	2997			J.H. Bufford's Lith.|http://id.loc.gov/authorities/names/nr95006899		"For solo piano.|Cover image by J.H.Bufford's Lith. 490 Washington St. Boston.|Plate no.: Sumner's Funeral March. 1,740"	No linguistic content		Sumner's funeral march:  a tribute to the memory of the late Hon. Charles Sumner	"Thorne, George|http://id.loc.gov/authorities/names/n83120287"			"White, Smith & Co."	"Boston, MA"	1874			Marches|http://id.loc.gov/authorities/subjects/sh85080979	CSAM 113								0	62	N
http://sheetmusic.library.sc.edu/Music.asp?mid=3005	3005					For violin and piano.|Score for violin and piano with part for violin.|Plate no.: 465	Unknown		Ave Maria	"Schubert, Franz, 1797-1828|http://id.loc.gov/authorities/names/n50000561"			Century Music Publishing	"New York, NY"	1901-1999	Erik L. Collins ; Victoria Collins		"Sacred songs--Instrumental settings|http://id.loc.gov/authorities/subjects/sh2010111779 ; Violin and piano music, Arranged|http://id.loc.gov/authorities/subjects/sh85143581 ; Ave Maria (Music)|http://id.loc.gov/authorities/subjects/sh85010507"	Sheet music Large 878								0	194	N
http://sheetmusic.library.sc.edu/Music.asp?mid=3046	3046					For violin and piano.|Score with part for violin.|Publisher no.: 1038| Plate no.: 29021	No linguistic content		Menuet:  (in the style of Porpora)	"Kreisler, Fritz, 1875-1962|http://id.loc.gov/authorities/names/n81015317"			Charles Foley	"New York, NY"	1938	Erik L. Collins ; Victoria Collins		Violin and piano music|http://id.loc.gov/authorities/subjects/sh85143580 ; Minuets|http://id.loc.gov/authorities/subjects/sh85085888	Sheet music 1940								0	46	N
http://sheetmusic.library.sc.edu/Music.asp?mid=3749	3749					For violin and piano.|Pl. no.: Collection Litolff no. 1307.	No linguistic content		"Concerto no. 1, Ré mineur - D minor / P. Rode"	"Rode, P. (Pierre), 1774-1830|http://id.loc.gov/authorities/names/n86134816"		"Grünwald, Ad. (Adolf)|http://id.loc.gov/authorities/names/no92000333"	A.P. Schmidt	"Boston, MA"	1881-1890	Walter Yeh		"Concertos (Violin), Arranged--Solo with piano|http://id.loc.gov/authorities/subjects/sh85030546"	M 1013 .R67 no.1 1880z			Walter Yeh		"Concertos, violin, orchestra, no. 1, D minor"			0	84	N
http://sheetmusic.library.sc.edu/Music.asp?mid=4249	4249					"For piano.|""Dedicated to my friend Signor Enrico Scoma""|Pl. no. L. 1944."	No linguistic content		In a monastery garden : characteristic intermezzo	"Ketèlbey, Albert W. (Albert William), 1875-1959|http://id.loc.gov/authorities/names/n81078907"			J. H. Larway	"London, England"	1915	Walter Yeh		Piano music|http://id.loc.gov/authorities/subjects/sh85101782	Sheet music 2649			Walter Yeh		"For piano.<BR>Pl. no. L. 1944.<BR>""Dedicated to my friend Signor Enrico Scoma"""			0	108	N
http://sheetmusic.library.sc.edu/Music.asp?mid=2910	2910					"For voice (alto) and piano, in G.|Plate no.: 12839"	English	First line of text|And he journey'd with companions towards Damascus	But the Lord is mindful of his own:  recit. and arioso	"Mendelssohn-Bartholdy, Felix, 1809-1847|http://id.loc.gov/authorities/names/n79139515"			G. Schirmer	"New York, NY"	1901-1999	Rose Marie and William Henry Jordan		Songs (Low voice) with piano|http://id.loc.gov/authorities/subjects/sh85125168	Sheet music 1340		Solos from oratorios and cantatas:  second series		St. Paul				0	43	N
